model,variable,description,variable_used_in_risk_score_formula?,definition
"Adult, Child, Infant",AGE_AT_DIAGNOSIS,Age as of diagnosis service date,No,0 <= AGE_AT_DIAGNOSIS
"Adult, Child, Infant",AGE_LAST,Age as of last day of enrollment in benefit year,No,0 <= AGE_LAST
"Adult, Child, Infant",SEX,Sex,No,"SEX in {Male, Female}"
Adult,MAGE_LAST_21_24,"Age 21-24, Male",Yes,"Male,   21 <= AGE_LAST <= 24"
Adult,MAGE_LAST_25_29,"Age 25-29, Male",Yes,"Male,   25 <= AGE_LAST <= 29"
Adult,MAGE_LAST_30_34,"Age 30-34, Male",Yes,"Male,   30 <= AGE_LAST <= 34"
Adult,MAGE_LAST_35_39,"Age 35-39, Male",Yes,"Male,   35 <= AGE_LAST <= 39"
Adult,MAGE_LAST_40_44,"Age 40-44, Male",Yes,"Male,   40 <= AGE_LAST <= 44"
Adult,MAGE_LAST_45_49,"Age 45-49, Male",Yes,"Male,   45 <= AGE_LAST <= 49"
Adult,MAGE_LAST_50_54,"Age 50-54, Male",Yes,"Male,   50 <= AGE_LAST <= 54"
Adult,MAGE_LAST_55_59,"Age 55-59, Male",Yes,"Male,   55 <= AGE_LAST <= 59"
Adult,MAGE_LAST_60_GT,"Age 60+, Male",Yes,"Male,   60 <= AGE_LAST"
Adult,FAGE_LAST_21_24,"Age 21-24, Female",Yes,"Female, 21 <= AGE_LAST <= 24"
Adult,FAGE_LAST_25_29,"Age 25-29, Female",Yes,"Female, 25 <= AGE_LAST <= 29"
Adult,FAGE_LAST_30_34,"Age 30-34, Female",Yes,"Female, 30 <= AGE_LAST <= 34"
Adult,FAGE_LAST_35_39,"Age 35-39, Female",Yes,"Female, 35 <= AGE_LAST <= 39"
Adult,FAGE_LAST_40_44,"Age 40-44, Female",Yes,"Female, 40 <= AGE_LAST <= 44"
Adult,FAGE_LAST_45_49,"Age 45-49, Female",Yes,"Female, 45 <= AGE_LAST <= 49"
Adult,FAGE_LAST_50_54,"Age 50-54, Female",Yes,"Female, 50 <= AGE_LAST <= 54"
Adult,FAGE_LAST_55_59,"Age 55-59, Female",Yes,"Female, 55 <= AGE_LAST <= 59"
Adult,FAGE_LAST_60_GT,"Age 60+, Female",Yes,"Female, 60 <= AGE_LAST"
Child,MAGE_LAST_2_4,"Age 2-4,   Male",Yes,"Male,    2 <= AGE_LAST <= 4"
Child,MAGE_LAST_5_9,"Age 5-9,   Male",Yes,"Male,    5 <= AGE_LAST <= 9"
Child,MAGE_LAST_10_14,"Age 10-14, Male",Yes,"Male,   10 <= AGE_LAST <= 14"
Child,MAGE_LAST_15_20,"Age 15-20, Male",Yes,"Male,   15 <= AGE_LAST <= 20"
Child,FAGE_LAST_2_4,"Age 2-4,   Female",Yes,"Female,  2 <= AGE_LAST <= 4"
Child,FAGE_LAST_5_9,"Age 5-9,   Female",Yes,"Female,  5 <= AGE_LAST <= 9"
Child,FAGE_LAST_10_14,"Age 10-14, Female",Yes,"Female, 10 <= AGE_LAST <= 14"
Child,FAGE_LAST_15_20,"Age 15-20, Female",Yes,"Female, 15 <= AGE_LAST <= 20"
Infant,AGE0_MALE,"Age 0,     Male",Yes,"Male,    AGE_LAST = 0"
Infant,AGE1_MALE,"Age 1,     Male",Yes,"Male,    AGE_LAST = 1"
