obs,icd10,icd10_label,valid_fy,valid_fy,mce_age_condition,mce_sex_condition,mce_age_condition,mce_sex_condition,mce_age_condition,mce_sex_condition,cc_age_split,cc_sex_split,cc,second_cc,third_cc,footnote
1,A0101,Typhoid meningitis,Y,Y,,,,,,,,,3.0,,,
2,A0102,Typhoid fever with heart involvement,Y,Y,,,,,,,,,135.0,,,
3,A0104,Typhoid arthritis,Y,Y,,,,,,,,,55.0,,,
4,A0105,Typhoid osteomyelitis,Y,Y,,,,,,,,,55.0,,,
5,A021,Salmonella sepsis,Y,Y,,,,,,,,,2.0,,,
6,A0221,Salmonella meningitis,Y,Y,,,,,,,,,3.0,,,
7,A0223,Salmonella arthritis,Y,Y,,,,,,,,,55.0,,,
8,A0224,Salmonella osteomyelitis,Y,Y,,,,,,,,,55.0,,,
9,A064,Amebic liver abscess,Y,Y,,,,,,,,,35.1,,,
10,A065,Amebic lung abscess,Y,Y,,,,,,,,,163.0,,,
11,A066,Amebic brain abscess,Y,Y,,,,,,,,,3.0,,,
12,A072,Cryptosporidiosis,Y,Y,,,,,,,,,6.0,,,
13,A170,Tuberculous meningitis,Y,Y,,,,,,,,,3.0,,,
14,A171,Meningeal tuberculoma,Y,Y,,,,,,,,,3.0,,,
15,A1781,Tuberculoma of brain and spinal cord,Y,Y,,,,,,,,,3.0,,,
16,A1782,Tuberculous meningoencephalitis,Y,Y,,,,,,,,,3.0,,,
17,A1783,Tuberculous neuritis,Y,Y,,,,,,,,,3.0,,,
18,A1789,Other tuberculosis of nervous system,Y,Y,,,,,,,,,3.0,,,
19,A179,"Tuberculosis of nervous system, unspecified",Y,Y,,,,,,,,,3.0,,,
20,A203,Plague meningitis,Y,Y,,,,,,,,,3.0,,,
21,A207,Septicemic plague,Y,Y,,,,,,,,,2.0,,,
22,A227,Anthrax sepsis,Y,Y,,,,,,,,,2.0,,,
23,A267,Erysipelothrix sepsis,Y,Y,,,,,,,,,2.0,,,
24,A2781,Aseptic meningitis in leptospirosis,Y,Y,,,,,,,,,3.0,,,
25,A310,Pulmonary mycobacterial infection,Y,Y,,,,,,,,,6.0,,,
26,A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),Y,Y,,,,,,,,,6.0,,,
27,A3211,Listerial meningitis,Y,Y,,,,,,,,,3.0,,,
28,A3212,Listerial meningoencephalitis,Y,Y,,,,,,,,,3.0,,,
29,A327,Listerial sepsis,Y,Y,,,,,,,,,2.0,,,
30,A3282,Listerial endocarditis,Y,Y,,,,,,,,,135.0,,,
31,A34,Obstetrical tetanus,Y,Y,9 <= age <= 64,female,9 <= age <= 64,female,9 <= age <= 64,female,,,3.0,,,
32,A35,Other tetanus,Y,Y,,,,,,,,,3.0,,,
33,A3681,Diphtheritic cardiomyopathy,Y,Y,,,,,,,,,130.0,,,
34,A381,Scarlet fever with myocarditis,Y,Y,,,,,,,,,135.0,,,
35,A390,Meningococcal meningitis,Y,Y,,,,,,,,,3.0,,,
36,A391,Waterhouse-Friderichsen syndrome,Y,Y,,,,,,,,,30.0,,,
37,A392,Acute meningococcemia,Y,Y,,,,,,,,,2.0,,,
38,A393,Chronic meningococcemia,Y,Y,,,,,,,,,2.0,,,
39,A394,"Meningococcemia, unspecified",Y,Y,,,,,,,,,2.0,,,
40,A3950,"Meningococcal carditis, unspecified",Y,Y,,,,,,,,,135.0,,,
41,A3951,Meningococcal endocarditis,Y,Y,,,,,,,,,135.0,,,
42,A3952,Meningococcal myocarditis,Y,Y,,,,,,,,,135.0,,,
43,A3953,Meningococcal pericarditis,Y,Y,,,,,,,,,135.0,,,
44,A3981,Meningococcal encephalitis,Y,Y,,,,,,,,,3.0,,,
45,A3983,Meningococcal arthritis,Y,Y,,,,,,,,,55.0,,,
46,A3984,Postmeningococcal arthritis,Y,Y,,,,,,,,,55.0,,,
47,A400,"Sepsis due to streptococcus, group A",Y,Y,,,,,,,,,2.0,,,
48,A401,"Sepsis due to streptococcus, group B",Y,Y,,,,,,,,,2.0,,,
49,A403,Sepsis due to Streptococcus pneumoniae,Y,Y,,,,,,,,,2.0,,,
50,A408,Other streptococcal sepsis,Y,Y,,,,,,,,,2.0,,,
51,A409,"Streptococcal sepsis, unspecified",Y,Y,,,,,,,,,2.0,,,
52,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,Y,Y,,,,,,,,,2.0,,,
53,A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,Y,Y,,,,,,,,,2.0,,,
54,A411,Sepsis due to other specified staphylococcus,Y,Y,,,,,,,,,2.0,,,
55,A412,Sepsis due to unspecified staphylococcus,Y,Y,,,,,,,,,2.0,,,
56,A413,Sepsis due to Hemophilus influenzae,Y,Y,,,,,,,,,2.0,,,
57,A414,Sepsis due to anaerobes,Y,Y,,,,,,,,,2.0,,,
58,A4150,"Gram-negative sepsis, unspecified",Y,Y,,,,,,,,,2.0,,,
59,A4151,Sepsis due to Escherichia coli [E. coli],Y,Y,,,,,,,,,2.0,,,
60,A4152,Sepsis due to Pseudomonas,Y,Y,,,,,,,,,2.0,,,
61,A4153,Sepsis due to Serratia,Y,Y,,,,,,,,,2.0,,,
62,A4154,Sepsis due to Acinetobacter baumannii,N,Y,,,,,,,,,2.0,,,
63,A4159,Other Gram-negative sepsis,Y,Y,,,,,,,,,2.0,,,
64,A4181,Sepsis due to Enterococcus,Y,Y,,,,,,,,,2.0,,,
65,A4189,Other specified sepsis,Y,Y,,,,,,,,,2.0,,,
66,A419,"Sepsis, unspecified organism",Y,Y,,,,,,,,,2.0,,,
67,A427,Actinomycotic sepsis,Y,Y,,,,,,,,,2.0,,,
68,A4281,Actinomycotic meningitis,Y,Y,,,,,,,,,3.0,,,
69,A4282,Actinomycotic encephalitis,Y,Y,,,,,,,,,3.0,,,
70,A480,Gas gangrene,Y,Y,,,,,,,,,153.0,,,
71,A481,Legionnaires' disease,Y,Y,,,,,,,,,163.0,,,
72,A483,Toxic shock syndrome,Y,Y,,,,,,,,,2.0,,,
73,A5004,Early congenital syphilitic pneumonia,Y,Y,,,,,,,,,163.0,,,
74,A5040,"Late congenital neurosyphilis, unspecified",Y,Y,,,,,,,,,3.0,,,
75,A5041,Late congenital syphilitic meningitis,Y,Y,,,,,,,,,3.0,,,
76,A5042,Late congenital syphilitic encephalitis,Y,Y,,,,,,,,,3.0,,,
77,A5043,Late congenital syphilitic polyneuropathy,Y,Y,,,,,,,,,3.0,,,
78,A5044,Late congenital syphilitic optic nerve atrophy,Y,Y,,,,,,,,,3.0,,,
79,A5045,Juvenile general paresis,Y,Y,,,,,,,,,3.0,,,
80,A5049,Other late congenital neurosyphilis,Y,Y,,,,,,,,,3.0,,,
81,A5054,Late congenital cardiovascular syphilis,Y,Y,,,,,,,,,135.0,,,
82,A5055,Late congenital syphilitic arthropathy,Y,Y,,,,,,,,,55.0,,,
83,A5141,Secondary syphilitic meningitis,Y,Y,,,,,,,,,3.0,,,
84,A5200,"Cardiovascular syphilis, unspecified",Y,Y,,,,,,,,,135.0,,,
85,A5201,Syphilitic aneurysm of aorta,Y,Y,,,,,,,,,135.0,,,
86,A5202,Syphilitic aortitis,Y,Y,,,,,,,,,135.0,,,
87,A5203,Syphilitic endocarditis,Y,Y,,,,,,,,,135.0,,,
88,A5205,Other cerebrovascular syphilis,Y,Y,,,,,,,,,149.0,,,
89,A5206,Other syphilitic heart involvement,Y,Y,,,,,,,,,135.0,,,
90,A5209,Other cardiovascular syphilis,Y,Y,,,,,,,,,135.0,,,
