model,variable,variable_used_in_risk_score_formula?,platinum_level,gold_level,silver_level,bronze_level,catastrophic_level
Adult,MAGE_LAST_21_24,Yes,0.167,0.117,0.077,0.048,0.047
Adult,MAGE_LAST_25_29,Yes,0.17,0.119,0.078,0.048,0.047
Adult,MAGE_LAST_30_34,Yes,0.202,0.144,0.098,0.062,0.061
Adult,MAGE_LAST_35_39,Yes,0.225,0.161,0.108,0.066,0.065
Adult,MAGE_LAST_40_44,Yes,0.263,0.193,0.134,0.087,0.085
Adult,MAGE_LAST_45_49,Yes,0.292,0.216,0.152,0.1,0.098
Adult,MAGE_LAST_50_54,Yes,0.377,0.292,0.221,0.162,0.16
Adult,MAGE_LAST_55_59,Yes,0.429,0.335,0.257,0.192,0.19
Adult,MAGE_LAST_60_GT,Yes,0.487,0.384,0.297,0.225,0.223
Adult,FAGE_LAST_21_24,Yes,0.256,0.182,0.121,0.074,0.072
Adult,FAGE_LAST_25_29,Yes,0.281,0.201,0.135,0.083,0.081
Adult,FAGE_LAST_30_34,Yes,0.352,0.263,0.189,0.13,0.128
Adult,FAGE_LAST_35_39,Yes,0.42,0.323,0.243,0.179,0.177
Adult,FAGE_LAST_40_44,Yes,0.474,0.369,0.281,0.21,0.207
Adult,FAGE_LAST_45_49,Yes,0.481,0.372,0.279,0.2,0.198
Adult,FAGE_LAST_50_54,Yes,0.529,0.418,0.321,0.239,0.236
Adult,FAGE_LAST_55_59,Yes,0.503,0.391,0.293,0.211,0.209
Adult,FAGE_LAST_60_GT,Yes,0.517,0.402,0.301,0.216,0.213
Adult,HHS_HCC001,Yes,0.829,0.716,0.653,0.616,0.615
Adult,HHS_HCC002,Yes,8.98,8.746,8.638,8.584,8.583
Adult,HHS_HCC003,Yes,8.324,8.186,8.104,8.035,8.032
Adult,HHS_HCC004,Yes,8.298,8.153,8.058,7.974,7.971
Adult,HHS_HCC006,Yes,7.834,7.759,7.677,7.583,7.579
Adult,HHS_HCC008,Yes,23.677,23.226,23.131,23.14,23.141
Adult,HHS_HCC009,Yes,14.216,13.902,13.805,13.768,13.767
Adult,HHS_HCC010,Yes,5.954,5.752,5.654,5.582,5.58
Adult,HHS_HCC011,Yes,3.67,3.467,3.358,3.273,3.27
Adult,HHS_HCC012,Yes,2.483,2.332,2.238,2.161,2.159
Adult,HHS_HCC013,Yes,1.038,0.931,0.823,0.718,0.714
Adult,HHS_HCC018,Yes,5.932,5.949,5.984,6.02,6.021
Adult,HHS_HCC019,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC020,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC021,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC022,Yes,0.33,0.3,0.259,0.2,0.198
Adult,HHS_HCC023,Yes,10.838,10.695,10.619,10.566,10.564
Adult,HHS_HCC026,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC027,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC029,Yes,7.481,7.364,7.303,7.253,7.252
Adult,HHS_HCC030,Yes,1.453,1.36,1.287,1.216,1.214
Adult,HHS_HCC034,Yes,6.091,6.067,5.984,6.02,6.021
Adult,HHS_HCC035_1,Yes,7.212,7.015,6.944,6.918,6.917
Adult,HHS_HCC035_2,Yes,2.688,2.502,2.429,2.389,2.388
Adult,HHS_HCC036,Yes,0.831,0.732,0.665,0.6,0.598
Adult,HHS_HCC037_1,Yes,0.636,0.556,0.49,0.434,0.432
Adult,HHS_HCC037_2,Yes,0.636,0.556,0.49,0.434,0.432
Adult,HHS_HCC041,Yes,19.388,19.268,19.2,19.15,19.147
Adult,HHS_HCC042,Yes,11.001,10.715,10.646,10.623,10.623
Adult,HHS_HCC045,Yes,4.958,4.766,4.662,4.603,4.602
Adult,HHS_HCC046,Yes,2.865,2.677,2.605,2.583,2.583
Adult,HHS_HCC047,Yes,2.67,2.465,2.36,2.281,2.28
Adult,HHS_HCC048,Yes,0.56,0.478,0.307,0.202,0.198
Adult,HHS_HCC054,Yes,9.17,8.984,8.936,8.926,8.925
Adult,HHS_HCC055,Yes,4.709,4.508,4.448,4.436,4.436
Adult,HHS_HCC056,Yes,1.186,1.082,0.996,0.918,0.915
Adult,HHS_HCC057,Yes,0.539,0.453,0.355,0.247,0.244
Adult,HHS_HCC061,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC062,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC063,Yes,1.762,1.636,1.552,1.483,1.482
Adult,HHS_HCC066,Yes,71.881,71.567,71.487,71.48,71.48
Adult,HHS_HCC067,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC068,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC069,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC070,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC071,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC073,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC074,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC075,Yes,2.135,2.044,1.979,1.921,1.919
Adult,HHS_HCC081,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC082,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC083,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC084,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC087_1,Yes,2.365,2.179,2.064,1.971,1.969
Adult,HHS_HCC087_2,Yes,2.365,2.179,2.064,1.971,1.969
Adult,HHS_HCC088,Yes,1.161,1.043,0.937,0.832,0.828
Adult,HHS_HCC090,Yes,0.847,0.753,0.647,0.536,0.532
Adult,HHS_HCC094,Yes,2.271,2.138,2.05,1.971,1.968
Adult,HHS_HCC096,Yes,8.408,8.344,8.287,8.227,8.224
Adult,HHS_HCC097,Yes,1.278,1.2,1.133,1.071,1.069
