v08_hhs-hcc,v07_hhs-hcc_label,payment_hccs_excluded_from_adult_model,payment_hccs_excluded_from_child_model,payment_hccs_excluded_from_infant_model
22,"Type 1 Diabetes Mellitus, add-on to Diabetes HCCs 19-21",,X,X
28,"Congenital Metabolic Disorders, Not Elsewhere Classified",X,,
64,"Major Congenital Anomalies of Diaphragm, Abdominal Wall, and Esophagus, Age < 2",X,X,
87_1,Schizophrenia,,,X
87_2,"Delusional and Other Specified Psychotic Disorders, Unspecified Psychosis",,,X
88,"Major Depressive Disorder, Severe, and Bipolar Disorders",,,X
90,Personality Disorders,,,X
94,Anorexia/Bulimia Nervosa,,,X
123,Narcolepsy and Cataplexy,,,X
174,Exudative Macular Degeneration,,X,X
203,Ectopic and Molar Pregnancy,,,X
204,Miscarriage with Complications,,,X
205,Miscarriage with No or Minor Complications,,,X
207,Pregnancy with Delivery with Major Complications,,,X
208,Pregnancy with Delivery with Complications,,,X
209,Pregnancy with Delivery with No or Minor Complications,,,X
210,(Ongoing) Pregnancy without Delivery with Major Complications,,,X
211,(Ongoing) Pregnancy without Delivery with Complications,,,X
212,(Ongoing) Pregnancy without Delivery with No or Minor Complications,,,X
242,"Extremely Immature Newborns, Birthweight < 500 Grams",X,X,
243,"Extremely Immature Newborns, Including Birthweight 500-749 Grams",X,X,
244,"Extremely Immature Newborns, Including Birthweight 750-999 Grams",X,X,
245,"Premature Newborns, Including Birthweight 1000-1499 Grams",X,X,
246,"Premature Newborns, Including Birthweight 1500-1999 Grams",X,X,
247,"Premature Newborns, Including Birthweight 2000-2499 Grams",X,X,
248,"Other Premature, Low Birthweight, Malnourished, or Multiple Birth Newborns",X,X,
249,"Term or Post-Term Singleton Newborn, Normal or High Birthweight",X,X,
