hios_variant_id,cost-sharing_reduction_(csr)_level,ra_software_person-level_csr_indicator,csr_ra_factor
0,Non-CSR/unknown CSR,1,1.0
1,Non-CSR/unknown CSR,1,1.0
2,CSR:  Zero Cost Sharing – Bronze,4,1.51
2,CSR:  Zero Cost Sharing – Silver,10,1.46
2,CSR:  Zero Cost Sharing – Gold,8,1.39
2,CSR:  Zero Cost Sharing – Platinum,6,1.31
3,CSR:  Limited Cost Sharing – Bronze,5,1.19
3,CSR:  Limited Cost Sharing – Silver,11,1.15
3,CSR:  Limited Cost Sharing – Gold,9,1.1
3,CSR:  Limited Cost Sharing – Platinum,7,1.04
4,CSR:  73% Actuarial Value (AV) Silver Plan Variation,1,1.0
5,CSR:  87% AV Silver Plan Variation,3,1.12
6,CSR:  94% AV Silver Plan Variation,3,1.12
30,CSR:  State Subsidy Off-Exchange Plan – Silver,3,1.12
31,CSR:  State Subsidy – Silver*,3,1.12
32,CSR:  State Subsidy – Silver,3,1.12
34,CSR: State Subsidy – Silver*,3,1.12
35,CSR:  State Subsidy – Silver,3,1.12
36,CSR:  State Subsidy – Silver,3,1.12
42,CSR:  State Subsidy – Gold,2,1.07
43,CSR:  State Subsidy – Gold,9,1.1
