obs,v08_hcc,hccs_to_zero,hcc_label
1,1,,HIV/AIDS
2,2,,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
3,3,4,"Central Nervous System Infections, Except Viral Meningitis"
4,4,,Viral or Unspecified Meningitis
5,6,,Opportunistic Infections
6,8,"9 ,10 ,11 ,12 ,13",Metastatic Cancer
7,9,"10 ,11 ,12 ,13","Lung, Brain, and Other Severe Cancers, Including Pediatric Acute Lymphoid Leukemia"
8,10,"11 ,12 ,13",Non-Hodgkin Lymphomas and Other Cancers and Tumors
9,11,"12 ,13","Colorectal, Breast (Age < 50), Kidney, and Other Cancers"
10,12,13,"Breast (Age 50+) and Prostate Cancer, Benign/Uncertain Brain Tumors, and Other Cancers and Tumors"
11,13,,"Thyroid Cancer, Melanoma, Neurofibromatosis, and Other Cancers and Tumors"
12,18,"19 ,20 ,21 ,22",Pancreas Transplant Status
13,19,"20 ,21",Diabetes with Acute Complications
14,20,21,Diabetes with Chronic Complications
15,21,,Diabetes without Complication
16,22,,"Type 1 Diabetes Mellitus, add-on to Diabetes HCCs 19-21"
17,23,,Protein-Calorie Malnutrition
18,26,,Mucopolysaccharidosis
19,27,,Lipidoses and Glycogenosis
20,28,,"Congenital Metabolic Disorders, Not Elsewhere Classified"
21,29,,"Amyloidosis, Porphyria, and Other Metabolic Disorders"
22,30,,"Adrenal, Pituitary, and Other Significant Endocrine Disorders"
23,34,"35_1 ,35_2 ,36 ,37_1 ,37_2",Liver Transplant Status/Complications
24,35_1,"35_2 ,36 ,37_1 ,37_2","Acute Liver Failure/Disease, Including Neonatal Hepatitis"
25,35_2,"36 ,37_1 ,37_2",Chronic Liver Failure/End-Stage Liver Disorders
26,36,"37_1 ,37_2",Cirrhosis of Liver
27,37_1,37_2,Chronic Viral Hepatitis C
28,37_2,,"Chronic Hepatitis, Except Chronic Viral Hepatitis C"
29,41,"45 ,48",Intestine Transplant Status/Complications
30,42,45,Peritonitis/Gastrointestinal Perforation/Necrotizing Enterocolitis
31,45,,Intestinal Obstruction
32,46,47,Chronic Pancreatitis
33,47,,Acute Pancreatitis
34,48,,Inflammatory Bowel Disease
35,54,55,Necrotizing Fasciitis
36,55,,Bone/Joint/Muscle Infections/Necrosis
37,56,57,Rheumatoid Arthritis and Specified Autoimmune Disorders
38,57,,Systemic Lupus Erythematosus and Other Autoimmune Disorders
39,61,,Osteogenesis Imperfecta and Other Osteodystrophies
40,62,,Congenital/Developmental Skeletal and Connective Tissue Disorders
41,63,,Cleft Lip/Cleft Palate
42,64,,"Major Congenital Anomalies of Diaphragm, Abdominal Wall, and Esophagus, Age < 2"
43,66,75,Hemophilia
44,67,75,Myelodysplastic Syndromes and Myelofibrosis
45,68,"69 ,74 ,75",Aplastic Anemia
46,69,,"Acquired Hemolytic Anemia, Including Hemolytic Disease of Newborn"
47,70,71,Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero
48,71,,"Sickle-Cell Disorders, Except Sickle-Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major"
49,73,74,Combined and Other Severe Immunodeficiencies
50,74,,Disorders of the Immune Mechanism
51,75,,Coagulation Defects and Other Specified Hematological Disorders
52,81,"82 ,83 ,84",Drug Use with Psychotic Complications
53,82,"83 ,84","Drug Use Disorder, Moderate/Severe, or Drug Use with Non-Psychotic Complications"
54,83,84,Alcohol Use with Psychotic Complications
55,84,,"Alcohol Use Disorder, Moderate/Severe, or Alcohol Use with Specified Non-Psychotic Complications"
56,87_1,"87_2 ,88 ,90 ,102 ,103",Schizophrenia
